State,District,Date,Year,Month,Avg_rainfall,Agency_name,source_file
Tamil Nadu,Ariyalur,2021-07-14,2021,7,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-07-18,2021,7,0.102020754,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-07-29,2021,7,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-07-30,2021,7,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-08-07,2021,8,3.757801702,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-08-09,2021,8,0.005023024,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-08-14,2021,8,0.338422235,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-08-18,2021,8,32.29476472,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-08-19,2021,8,0.906058157,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-08-23,2021,8,0.571434448,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-08-24,2021,8,0.917247164,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-09-01,2021,9,0.74678693,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-09-12,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-09-30,2021,9,0.143068895,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-10-05,2021,10,2.793258926,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-10-06,2021,10,22.36497772,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-10-11,2021,10,4.362498534,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-10-15,2021,10,6.292306369,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-10-20,2021,10,7.925491168,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-10-28,2021,10,0.531877782,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-01,2021,11,24.99534676,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-04,2021,11,14.15933182,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-08,2021,11,18.29661142,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-09,2021,11,21.56210578,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-16,2021,11,6.906807719,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-17,2021,11,2.625213184,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-24,2021,11,1.563832235,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-27,2021,11,52.98493182,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-11-28,2021,11,48.07332562,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-12-04,2021,12,0.254344701,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-12-06,2021,12,3.33596393,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-12-09,2021,12,4.366286791,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-12-11,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-12-14,2021,12,5.053662766,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-12-19,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-01-03,2021,1,13.64446253,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-01-05,2021,1,27.25387119,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-01-11,2021,1,0.134425124,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-01-13,2021,1,0.005788199,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-01-17,2021,1,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-04,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-06,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-09,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-13,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-15,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Chengalpattu,2021-02-18,2021,2,0.0,IMD GRID MODEL,2021.csv
